10 0.000000 0.000000
20 0.000000 0.000000
30 0.006897 0.003448
40 0.072414 0.026437
50 0.182759 0.104598
60 0.337931 0.271264
70 0.544828 0.573563
80 0.744828 0.857471
90 0.866667 0.986207
100 0.970115 0.998851
