CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	0	10.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	0	15.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	0	20.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	1	25.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	3	30.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	21	35.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	88	40.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	212	45.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	442	50.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	813	55.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	1390	60.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	2313	65.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	3599	70.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	5455	75.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	7988	80.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	11213	85.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	15592	90.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	21133	95.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	28075	100.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	36583	105.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	46983	110.000000
CN	3	cleaned/101_1_cleaned.tif	cleaned/101_2_cleaned.tif	252	506	59158	115.000000
